Code,ID,Name,City,Pop2010,PopDen2010
PH-00,20835,Metropolitan Manila,Manila,11855975,18641.5
PH-40,9061340,Calabarzon,Calamba,12609803,777
PH-03,9061341,Central Luzon,San Fernando,10137737,472.2
PH-06,9061342,Western Visayas,Iloilo City,7102438,351.2
PH-11,9061343,Southern Mindanao,Davao City,4468563,220.7
PH-07,9061344,Central Visayas,Cebu City,6800180,454.8
PH-01,9061345,Ilocos,San Fernando,4748372,369.8
PH-10,9061346,Northern Mindanao,Cagayan de Oro,4297323,250.9
PH-12,9061347,Soccsksargen,Koronadal,4109571,222.9
PH-02,9061348,Cagayan Valley,Tuguegarao,3229163,120.3
PH-05,9061349,Bicol,Legazpi,5420411,307.4
PH-41,9061350,MIMAROPA,Calapan,2744671,100
PH-08,9061351,Eastern Visayas,Tacloban,4101322,191.4
PH-13,9061352,Caraga,Butuan,2429224,128.9
PH-15,9061353,Cordillera Administrative Region,Baguio,1616867,88.4
PH-09,9061354,Zamboanga Peninsula,Zamboanga,3407353,230.1
PH-14,9061355,Autonomous Region in Muslim Mindanao,Cotabato City,3256140,256.5
